celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score
Jeannie Mai,Brandon Armstrong,TV Personality,California,United States,41,29,Withdrew,9,6,6,6,N/A,6,6,6,N/A,7,7,8,N/A,7,7,7,N/A,8,8,8,N/A,8,8,9,N/A,8,9,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
Martin Kove,Britt Stewart,Actor/Actress,New York,United States,75,30,Eliminated Week 2,15,4,3,3,3,4,3,4,4,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Brian Austin Green,Sharna Burgess,Actor/Actress,California,United States,48,30,Eliminated Week 4,13,6,6,6,6,6,5,6,6,7,6,6,N/A,6.5,6,7,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Melora Hardin,Artem Chigvintsev,Actor/Actress,Texas,United States,54,30,Eliminated Week 9,6,7,6,7,6,7,6,7,7,8,7,8,N/A,9,9.5,9,9,9,9,9,9,8,9,8,9,9.5,9.5,9.5,9.5,10.5,10.5,10.5,10.5,8.5,9.5,9,9,0,0,0,0,N/A,N/A,N/A,N/A
Matt James,Lindsay Arnold,Athlete,North Carolina,United States,29,30,Eliminated Week 4,12,6,6,6,6,5,5,6,6,7,6,7,N/A,7,6.5,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
"Mike ""The Miz"" Mizanin",Witney Carson,Athlete,Ohio,United States,40,30,Eliminated Week 7,9,6,6,6,6,7,5,7,7,7,7,8,N/A,8.5,7.5,8.5,8,8,8,8,8,9,8,9,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Suni Lee,Sasha Farber,Athlete,Minnesota,United States,18,30,Eliminated Week 9,5,7,7,7,7,7,7,7,7,7,7,7,N/A,8.5,8,9,8.5,9,9,9,9,9,9,9,9,8.25,8.25,8.25,9.25,10.5,10.5,10.5,10.5,10,9,9.5,9,0,0,0,0,N/A,N/A,N/A,N/A
Iman Shumpert,Daniella Karagach,Athlete,Illinois,United States,31,30,1st Place,1,7,4,5,5,7,6,6,6,7,6,6,N/A,8.5,6.5,8.5,8,7,7,7,7,10,10,10,10,9.5,7.5,8.5,8.5,9,8,9,9,9.5,9,10,9,10,10,10,10,N/A,N/A,N/A,N/A
Cody Rigsby,Cheryl Burke,Fitness Instructor,California,United States,34,30,3rd Place,3,6,6,6,6,6,6,6,6,6,6,6,N/A,7.5,6.5,7.5,7.5,8,8,8,8,9,9,9,9,8.5,8.5,9.5,9.5,10,10,9,9,9,9,8.5,9,9.5,9.5,9.5,9.5,N/A,N/A,N/A,N/A
Melanie C,Gleb Savchenko,Singer/Rapper,,England,47,30,Eliminated Week 5,11,7,7,6,7,7,7,8,8,7,7,8,N/A,8,8,8.5,8.5,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Jimmie Allen,Emma Slater,Singer/Rapper,Delaware,United States,36,30,Eliminated Week 8,7,6,5,6,5,7,6,7,7,6,6,8,N/A,8.5,7.5,8.5,8,8,8,9,9,10,9,10,9,9,9,10,10,8,8,8,8,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Olivia Jade,Valentin Chmerkovskiy,Social Media Personality,California,United States,21,30,Eliminated Week 8,8,7,6,6,6,7,6,7,7,8,8,8,N/A,8,9,9,9,9,9,9,9,9,9,9,9,11,9,11,11,9,9,9,9,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
JoJo Siwa,Jenna Johnson,Social Media Personality,Nebraska,United States,18,30,2nd Place,2,8,7,7,7,8,8,7,8,8,8,8,N/A,8.5,8.5,9,9,10,10,10,10,10,10,10,10,10,9,10,10,10.5,9.5,10.5,10.5,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A
Christine Chiu,Pasha Pashkov,TV Personality,,Taiwan China,38,30,Eliminated Week 3,14,6,7,6,6,6,6,6,6,7,7,7,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Kenya Moore,Brandon Armstrong,TV Personality,Michigan,United States,50,30,Eliminated Week 6,10,7,6,6,7,6,6,6,6,7,7,7,N/A,7,7,8,7.5,9,9,9,9,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Amanda Kloots,Alan Bersten,TV Personality,Ohio,United States,39,30,4th Place,4,7,7,7,7,8,8,8,8,8,8,8,N/A,8.5,8.5,8.5,8.5,10,10,9,10,9,9,10,10,8.25,8.25,8.25,9.25,10.5,10.5,10.5,10.5,9.5,10,10,10,9.5,10,9.5,10,N/A,N/A,N/A,N/A
Jason Lewis,Peta Murgatroyd,Actor/Actress,California,United States,51,31,Eliminated Week 1,16,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Cheryl Ladd,Louis van Amstel,Actor/Actress,South Dakota,United States,71,31,Eliminated Week 3,14,6,5,5,5,5,6,5,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Selma Blair,Sasha Farber,Actor/Actress,Michigan,United States,50,31,Withdrew,12,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Joseph Baena,Daniella Karagach,Actor/Actress,California,United States,24,31,Eliminated Week 5,11,6,5,6,6,6,6,6,6,8,7,7,7,7,7,7,7,9,8.5,9,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Trevor Donovan,Emma Slater,Actor/Actress,California,United States,39,31,Eliminated Week 9,6,5,5,5,6,7,7,8,8,7,6,7,7,7,7,7,7,9,9,9,9,9,8,8,9,10,9,10,10,9.25,10.25,9.25,10.25,8.5,8,8,8,0,0,0,0,N/A,N/A,N/A,N/A
Daniel Durant,Britt Stewart,Actor/Actress,Michigan,United States,32,31,Eliminated Week 9,5,7,6,7,7,7,7,7,8,8,7,8,8,7,7,7,8,8.125,8.125,8.625,8.625,9,8,8,9,9,8.5,9.5,9.5,10,9,10,10,9,8,9,8.5,0,0,0,0,N/A,N/A,N/A,N/A
Wayne Brady,Witney Carson,Comedian,Georgia,United States,50,31,3rd Place,3,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,10.125,10.125,10.125,10.625,8,9,8,9,9.5,9,9.5,10,11.25,11.25,11.25,11.25,9.5,9,9,9,9.5,9.5,9.5,9.5,N/A,N/A,N/A,N/A
Sam Champion,Cheryl Burke,News Anchor,Kentucky,United States,61,31,Eliminated Week 4,13,5,5,5,5,6,6,7,7,6,6,6,7,7,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Jessie James Decker,Alan Bersten,Singer/Rapper,,Italy,34,31,Eliminated Week 6,10,5,5,5,5,7,6,6,6,6,6,7,7,8,7,8,8,8.875,8.875,9.375,8.875,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Jordin Sparks,Brandon Armstrong,Singer/Rapper,Arizona,United States,32,31,Eliminated Week 7,9,7,6,6,7,7,6,7,7,7,7,7,8,9,8,8,9,8.875,8.375,8.875,9.375,9,8,8,9,8.5,9,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Heidi D'Amelio,Artem Chigvintsev,Social Media Personality,Louisiana,United States,50,31,Eliminated Week 8,8,6,6,6,6,7,7,7,7,8,8,8,8,9,8,8,9,9.625,10.125,9.625,9.625,9,9,9,9,8.5,9,9,8.5,9,8,9,9,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Charli D'Amelio,Mark Ballas,Social Media Personality,Connecticut,United States,18,31,1st Place,1,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,10.375,10.375,10.375,10.875,10,10,10,10,9.5,9.5,10,10,11.25,11.25,11.25,11.25,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A
Teresa Giudice,Pasha Pashkov,TV Personality,New Jersey,United States,50,31,Eliminated Week 2,15,5,5,5,5,6,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Vinny Guadagnino,Koko Iwasaki,TV Personality,New York,United States,34,31,Eliminated Week 8,7,4,4,5,4,7,6,7,7,6,5,6,6,8,7,7,7,7.75,7.75,7.75,7.75,7,7,7,7,7.5,8,8,8,8,7,7,7,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A
Shangela,Gleb Savchenko,TV Personality,Texas,United States,40,31,4th Place,4,7,7,7,7,7,7,7,7,8,7,7,8,8,8,8,8,9.75,9.25,9.75,9.75,9,9,9,9,9,9.5,9,9,11.25,10.25,10.25,10.25,9.5,9,9,9,9.5,9.5,9.5,9.5,N/A,N/A,N/A,N/A
Gabby Windey,Valentin Chmerkovskiy,TV Personality,Illinois,United States,31,31,2nd Place,2,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,10.25,10.25,10.25,10.25,9,9,9,10,9,9,8.5,9,10,10,10,10,10,10,10,10,10,10,10,10,N/A,N/A,N/A,N/A
Jamie Lynn Spears,Alan Bersten,Actor/Actress,Mississippi,United States,32,32,Eliminated Week 2,13,5,5,5,N/A,6,5,5,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Mira Sorvino,Gleb Savchenko,Actor/Actress,New York,United States,55,32,Eliminated Week 5,10,6,5,6,N/A,6,6,6,N/A,6,6,7,7,7,7,7,N/A,7,8,7,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Barry Williams,Peta Murgatroyd,Actor/Actress,California,United States,68,32,Eliminated Week 8,7,6,5,5,N/A,5,5,5,N/A,6,6,7,6,6,6,6,N/A,8,8,8,N/A,8.25,7.25,8.25,8.25,8,8,8.5,8,8.75,8.75,8.75,8.75,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Alyson Hannigan,Sasha Farber,Actor/Actress,Washington D.C.,United States,49,32,5th Place,5,5,4,4,N/A,7,6,6,N/A,6,6,6,6,6,6,6,N/A,7,7,7,N/A,7.5,7.5,7.5,8.5,8.5,8.5,9.5,8.5,8.75,8.75,9.75,8.75,7.75,7.75,8.75,7.75,8.5,8.5,8.5,N/A,9,8.5,9,N/A
Xochitl Gomez,Valentin Chmerkovskiy,Actor/Actress,California,United States,17,32,1st Place,1,6,6,6,N/A,8,8,8,N/A,8,8,8,8,9,9,9,N/A,9,10,9,N/A,10.25,10.25,11.25,10.25,9.5,9,9.5,9,10,10,10,10,9.75,9.75,10.75,10.75,10,10,10,N/A,10,10,10,N/A
Adrian Peterson,Britt Stewart,Athlete,Texas,United States,38,32,Eliminated Week 4,11,6,6,6,N/A,5,5,5,N/A,5,5,6,6,7,7,7,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Matt Walsh,Koko Iwasaki,Comedian,Illinois,United States,58,32,Eliminated Week 1,14,4,4,4,N/A,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Tyson Beckford,Jenna Johnson,Model,New York,United States,52,32,Eliminated Week 3,12,4,4,4,N/A,6,6,6,N/A,5,5,5,5,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Jason Mraz,Daniella Karagach,Singer/Rapper,Virginia,United States,46,32,2nd Place,2,7,7,7,N/A,8,8,8,N/A,9,8,9,8,8,8,8,N/A,9,9,9,N/A,9.75,9.75,9.75,9.75,8.5,8.5,10,9,8,9,8,8,10.75,10.75,10.75,10.75,9.5,9.5,9.5,N/A,10,10,10,N/A
Lele Pons,Brandon Armstrong,Social Media Personality,,Venezuela,27,32,Eliminated Week 7,8,6,7,6,N/A,7,7,7,N/A,7,6,7,7,7,7,8,N/A,8,8,8,N/A,9,9,9,10,9.5,9,9,9,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Harry Jowsey,Rylee Arnold,TV Personality,,Australia,26,32,Eliminated Week 9,6,4,4,4,N/A,5,5,5,N/A,6,5,7,6,7,7,7,N/A,6,6,6,N/A,7.25,7.25,7.25,7.25,8,8,8,8,7,7,7,7,8,7,8,7,0,0,0,N/A,0,0,0,N/A
Mauricio Umansky,Emma Slater,TV Personality,,Mexico,53,32,Eliminated Week 6,9,5,5,5,N/A,4,4,4,N/A,7,5,6,5,7,6,6,N/A,8,8,8,N/A,8.5,8.5,7.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Charity Lawson,Artem Chigvintsev,TV Personality,Georgia,United States,27,32,4th Place,4,7,7,8,N/A,7,7,7,N/A,8,8,8,8,8,8,8,N/A,10,9,9,N/A,9.75,9.75,8.75,9.75,9,9,9,9,9.75,9.75,9.75,9.75,9,10,9,10,10,9.5,10,N/A,9.5,10,10,N/A
Ariana Madix,Pasha Pashkov,TV Personality,Florida,United States,38,32,3rd Place,3,7,7,7,N/A,6,7,7,N/A,9,8,9,8,8,9,8,N/A,8,8,8,N/A,10,10,10,11,9,9,10,9,9.75,10.75,10.75,10.75,9,9,9,10,9.5,9.5,10,N/A,9.5,10,10,N/A
Tori Spelling,Pasha Pashkov,Actor/Actress,California,United States,51,33,Eliminated Week 2,12,6,6,5,N/A,7,6,6,N/A,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric Roberts,Britt Stewart,Actor/Actress,California,United States,68,33,Eliminated Week 3,10,5,5,5,N/A,6,4,5,N/A,6.5,5.5,5.5,5.5,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reginald VelJohnson,Emma Slater,Actor/Actress,New York,United States,74,33,Eliminated Week 3,10,6,5,5,N/A,6,4,5,N/A,6,5,5,5,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chandler Kinney,Brandon Armstrong,Actor/Actress,California,United States,24,33,3rd Place,3,8,7,8,N/A,8,8,8,N/A,8.5,8.5,9,8.5,8,8,8,8,9,9,9,N/A,10,11,11,N/A,10,10,10,N/A,9.5,9.5,10,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dwight Howard ,Daniella Karagach,Athlete,Georgia,United States,38,33,Eliminated Week 7,6,8,7,7,N/A,8,7,7,N/A,7,6.5,6,6.5,7,8,7,7,8,8,8,N/A,11,10,10,N/A,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Danny Amendola,Witney Carson,Athlete,Texas,United States,39,33,5th Place,5,7,6,7,N/A,7,7,7,N/A,7.5,7.5,8,7,9,9,9,9,8.5,8.5,8.5,N/A,10,9,9,N/A,8.5,8.5,8.5,N/A,9,9,9,N/A,9,9.5,9.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Stephen Nedoroscik,Rylee Arnold,Athlete,Florida,United States,26,33,4th Place,4,7,7,7,N/A,8,7,7,N/A,8,8,7.5,7.5,8,9,8,8,8,8,8,N/A,10,9,9,N/A,9.5,9,8.5,N/A,9,8.5,9,N/A,10,9.5,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ilona Maher,Alan Bersten,Athlete,California,United States,28,33,2nd Place,2,6,6,6,N/A,7,7,7,N/A,7.5,7,7,6.5,8,8,8,8,9,8.5,8.5,N/A,8,8,8,N/A,9,8.5,8.5,N/A,9.5,9.5,9.5,N/A,9.5,9.5,9.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anna Delvey,Ezra Sosa,Con artist,,Russia,33,33,Eliminated Week 2,12,6,6,6,N/A,6,5,6,N/A,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brooks Nader,Gleb Savchenko,Model,New York,United States,27,33,Eliminated Week 4,9,6,6,6,N/A,7,6,7,N/A,7.5,7.5,8,7.5,8,8,8,8,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phaedra Parks,Val Chmerkovskiy,TV Personality,Georgia,United States,51,33,Eliminated Week 5,8,7,6,6,N/A,7,7,7,N/A,7.5,7.5,6,7,8,8,8,8,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jenn Tran,Sasha Farber,TV Personality,Florida,United States,26,33,Eliminated Week 6,7,7,6,6,N/A,6,6,7,N/A,8,8,7,8,8,8,8,8,8.5,8.5,8.5,N/A,11,10,10,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joey Graziadei,Jenna Johnson,TV Personality,Louisiana,United States,29,33,1st Place,1,7,7,7,N/A,8,7,7,N/A,9,9,8.5,8.5,9,9,9,9,8.5,8.5,9,N/A,11,10,11,N/A,9,9.5,9,N/A,9.5,10,9.5,N/A,9.5,10,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Corey Feldman,Jenna Johnson,Actor/Actress,California,United States,54,34,Eliminated Week 2,13,4,5,N/A,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Danielle Fishel,Pasha Pashkov,Actor/Actress,California,United States,44,34,Eliminated Week 8,8,6,6,N/A,N/A,7,6,6,N/A,7,7,7,N/A,7,7,7,N/A,7,7,7,8,9,9,9,9,8.5,8.5,8.5,9.5,9.5,9,9.5,9,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Elaine Hendrix,Alan Bersten (Rashad Jennings week 9),Actor/Actress,Georgia,United States,55,34,5th Place,5,6,6,N/A,N/A,7,7,7,N/A,7,7,7,N/A,8,8,8,N/A,8,7,7,8,9,9,9,9,8,8,8,8,9,9.5,10,9,9,9,9,9,9.5,9.5,9.5,N/A,9.6666,9.6666,9.6666,N/A
Baron Davis,Britt Stewart,Athlete,California,United States,46,34,Eliminated Week 2,13,5,5,N/A,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Jordan Chiles,Ezra Sosa (Apolo Anton Ohno week 9),Athlete,Texas,United States,24,34,3rd Place,3,5,5,N/A,N/A,8,7,7,N/A,8,8,8,N/A,8,8,8,N/A,8,8,8,8,10,9,10,10,10,9,9,10,10,9.5,10,9.5,9.5,10.5,9.5,9.5,9.5,9.5,9.5,N/A,9.6666,10,10,N/A
Andy Richter,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,California,United States,59,34,Eliminated Week 9,7,5,4,N/A,N/A,6,5,5,N/A,6,6,6,N/A,6,6,6,N/A,6,6,6,6,7,6,7,7,7.25,7.25,7.25,7.25,8,8.5,9.5,8,8,7,7,7,0,0,0,N/A,0,0,0,N/A
Robert Irwin,Witney Carson (Xoshitl Gomez week 9),Conservationist,,Australia,22,34,1st Place,1,8,7,N/A,N/A,8,7,7,N/A,8,7,7,N/A,7,7,8,N/A,8,9,9,9,9,9,9,9,10.75,9.75,9.75,10.75,9,9.5,10,9.5,10.5,10.5,10.5,10.5,10,9.5,10,N/A,9.6666,10,10,N/A
Hilaria Baldwin,Gleb Savchenko,Entrepreneur,New York,United States,41,34,Eliminated Week 4,11,7,7,N/A,N/A,7,7,7,N/A,7,8,7,N/A,8,7,8,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Lauren Jauregui,Brandon Armstrong,Singer/Rapper,Florida,United States,29,34,Eliminated Week 3,12,7,6,N/A,N/A,7,7,7,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Scott Hoying,Rylee Arnold,Singer/Rapper,California,United States,34,34,Eliminated Week 6,10,5,5,N/A,N/A,6,6,6,N/A,8,7,7,N/A,7,7,7,N/A,7,8,7,8,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Alix Earle,Val Chmerkovskiy (Joey Graziadei week 9),Social media personality,Florida,United States,24,34,2nd Place,2,7,6,N/A,N/A,7,7,7,N/A,8,7,8,N/A,8,8,8,N/A,8,9,9,9,9,9,8,9,11,11,10,11,9.5,10,9.5,9.5,10,10,10,10,9.5,10,9.5,N/A,10,10,10,N/A
Jen Affleck,Jan Ravnik,TV Personality,Utah,United States,26,34,Eliminated Week 7,9,6,6,N/A,N/A,8,7,7,N/A,7,6,6,N/A,7,8,8,N/A,8,7,7,7,8,8,8,8,8.5,8.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0,N/A,0,0,0,N/A
Whitney Leavitt,Mark Ballas,TV Personality,Utah,United States,32,34,Eliminated Week 10,6,7,8,N/A,N/A,7,7,8,N/A,8,8,8,N/A,9,8,8,N/A,9,8,8,8,10,9,10,10,10.25,10.25,10.25,11.25,9.5,10,10,10,10.5,10.5,10.5,10.5,9,10,10,N/A,0,0,0,N/A
Dylan Efron,Daniella Karagach (Rumer Willis week 9),TV Personality,California,United States,33,34,4th Place,4,5,5,N/A,N/A,7,6,7,N/A,7,8,8,N/A,7,8,8,N/A,9,9,9,9,8,8,8,8,9.75,9.75,8.75,9.75,9,9.5,10,9.5,10.5,10.5,10.5,10.5,9,9,9.5,N/A,9.6666,9.6666,10,N/A
